TEAM,RA FGM,RA FGA,RA FG%,PAINT FGM,PAINT FGA,PAINT FG%,MIDRANGE FGM,MIDRANGE FGA,MIDRANGE FG%,LEFT CORNER FGM,LEFT CORNER FGA,LEFT CORNER FG%,RIGHT CORNER FGM,RIGHT CORNER FGA,RIGHT CORNER FG%,CORNER 3 FGM,CORNER 3 FGA,CORNER 3 FG%,ATB 3 FGM,ATB FGA,ATB FG%,YEAR,SEASON WIN PCT,PLAYOFFS
Los Angeles Lakers,1323,2322,57,365,965,37.8,887,2210,40.1,98,226,43.4,60,182,33,158,408,38.7,393,1095,35.9,2008,0.695,1
Memphis Grizzlies,1482,2317,64,397,933,42.6,924,2202,42,71,204,34.8,74,177,41.8,145,381,38.1,446,1228,36.3,2008,0.268,0
Miami Heat,1229,1941,63.3,361,887,40.7,887,2154,41.2,85,220,38.6,77,198,38.9,162,418,38.8,389,1067,36.5,2008,0.183,0
Milwaukee Bucks,1387,2299,60.3,319,735,43.4,854,2000,42.7,83,204,40.7,103,226,45.6,186,430,43.3,401,1081,37.1,2008,0.317,0
Minnesota Timberwolves,1312,2033,64.5,283,734,38.6,922,2200,41.9,71,220,32.3,86,189,45.5,157,409,38.4,382,1096,34.9,2008,0.268,0
New Jersey Nets,1206,2100,57.4,329,771,42.7,913,2226,41,89,213,41.8,81,194,41.8,170,407,41.8,362,1023,35.4,2008,0.415,0
New Orleans Hornets,1284,2070,62,284,710,40,927,2271,40.8,79,197,40.1,81,180,45,160,377,42.4,383,1161,33,2008,0.683,1
New York Knicks,1310,2108,62.1,373,794,47,916,2222,41.2,85,219,38.8,74,216,34.3,159,435,36.6,426,1143,37.3,2008,0.28,0
Orlando Magic,1177,1970,59.7,356,919,38.7,1008,2524,39.9,68,182,37.4,72,166,43.4,140,348,40.2,376,1075,35,2008,0.634,1
Philadelphia 76ers,1367,2326,58.8,311,761,40.9,765,1867,41,80,232,34.5,78,205,38,158,437,36.2,399,1099,36.3,2008,0.488,1
Phoenix Suns,1378,2328,59.2,460,1131,40.7,1062,2598,40.9,62,153,40.5,51,114,44.7,113,267,42.3,354,1043,33.9,2008,0.671,1
Portland Trail Blazers,1288,2161,59.6,372,857,43.4,790,2097,37.7,81,223,36.3,86,211,40.8,167,434,38.5,366,1050,34.9,2008,0.5,0
Sacramento Kings,1282,2046,62.7,417,975,42.8,842,2115,39.8,109,275,39.6,90,221,40.7,199,496,40.1,397,1077,36.9,2008,0.463,0
San Antonio Spurs,1088,1872,58.1,370,921,40.2,983,2420,40.6,62,181,34.3,47,136,34.6,109,317,34.4,307,877,35,2008,0.683,1
Seattle SuperSonics,1397,2348,59.5,414,1028,40.3,870,2189,39.7,83,219,37.9,85,215,39.5,168,434,38.7,439,1125,39,2008,0.244,0
Toronto Raptors,1233,2040,60.4,309,736,42,849,2116,40.1,89,248,35.9,98,240,40.8,187,488,38.3,429,1170,36.7,2008,0.5,1
Utah Jazz,1292,2086,61.9,335,830,40.4,766,1962,39,77,195,39.5,73,186,39.2,150,381,39.4,353,999,35.3,2008,0.659,1
Washington Wizards,1242,1971,63,299,799,37.4,791,2003,39.5,120,270,44.4,95,227,41.9,215,497,43.3,467,1259,37.1,2008,0.524,1
Atlanta Hawks,1428,2466,57.9,335,794,42.2,725,1840,39.4,58,149,38.9,60,165,36.4,118,314,37.6,347,916,37.9,2007,0.366,0
Boston Celtics,1401,2339,59.9,309,771,40.1,828,2018,41,66,164,40.2,55,156,35.3,121,320,37.8,306,874,35,2007,0.293,0
Charlotte Bobcats,1403,2373,59.1,321,779,41.2,825,2055,40.1,75,200,37.5,58,181,32,133,381,34.9,317,844,37.6,2007,0.402,0
Chicago Bulls,1162,2093,55.5,277,664,41.7,871,2274,38.3,88,228,38.6,68,188,36.2,156,416,37.5,327,962,34,2007,0.598,1
Cleveland Cavaliers,1255,2056,61,308,801,38.5,870,2253,38.6,61,197,31,50,145,34.5,111,342,32.5,294,881,33.4,2007,0.61,1
Dallas Mavericks,1165,1997,58.3,347,883,39.3,904,2289,39.5,47,151,31.1,47,124,37.9,94,275,34.2,280,789,35.5,2007,0.817,1
Denver Nuggets,1447,2363,61.2,389,949,41,866,2207,39.2,96,267,36,91,237,38.4,187,504,37.1,367,1041,35.3,2007,0.549,1
Detroit Pistons,1277,2202,58,248,695,35.7,885,2235,39.6,88,225,39.1,66,187,35.3,154,412,37.4,255,786,32.4,2007,0.646,1
Golden State Warriors,1437,2338,61.5,363,920,39.5,762,1950,39.1,88,240,36.7,94,251,37.5,182,491,37.1,427,1156,36.9,2007,0.512,1
Houston Rockets,961,1789,53.7,390,871,44.8,969,2497,38.8,61,164,37.2,40,130,30.8,101,294,34.4,372,1031,36.1,2007,0.634,1
Indiana Pacers,1236,2133,57.9,351,836,42,908,2275,39.9,82,221,37.1,67,185,36.2,149,406,36.7,287,762,37.7,2007,0.427,0
Los Angeles Clippers,1223,2123,57.6,416,955,43.6,819,2019,40.6,82,194,42.3,50,160,31.3,132,354,37.3,322,969,33.2,2007,0.488,0
Los Angeles Lakers,1404,2355,59.6,387,962,40.2,784,1942,40.4,76,193,39.4,70,158,44.3,146,351,41.6,375,1090,34.4,2007,0.512,1
Memphis Grizzlies,1492,2378,62.7,368,859,42.8,851,2046,41.6,112,245,45.7,70,197,35.5,182,442,41.2,394,1027,38.4,2007,0.268,0
