TEAM,RA FGM,RA FGA,RA FG%,PAINT FGM,PAINT FGA,PAINT FG%,MIDRANGE FGM,MIDRANGE FGA,MIDRANGE FG%,LEFT CORNER FGM,LEFT CORNER FGA,LEFT CORNER FG%,RIGHT CORNER FGM,RIGHT CORNER FGA,RIGHT CORNER FG%,CORNER 3 FGM,CORNER 3 FGA,CORNER 3 FG%,ATB 3 FGM,ATB FGA,ATB FG%,YEAR,SEASON WIN PCT,PLAYOFFS
Miami Heat,1105,1896,58.3,376,881,42.7,884,2246,39.4,79,226,35,87,217,40.1,166,443,37.5,363,1042,34.8,2007,0.537,1
Milwaukee Bucks,1476,2311,63.9,307,707,43.4,855,2120,40.3,115,265,43.4,87,206,42.2,202,471,42.9,361,1052,34.3,2007,0.341,0
Minnesota Timberwolves,1344,2190,61.4,314,718,43.7,899,2294,39.2,82,211,38.9,76,196,38.8,158,407,38.8,360,1067,33.7,2007,0.39,0
New Jersey Nets,1148,1960,58.6,312,741,42.1,932,2321,40.2,74,194,38.1,80,180,44.4,154,374,41.2,365,1063,34.3,2007,0.5,1
New Orleans/Oklahoma City Hornets,1224,2063,59.3,325,789,41.2,896,2151,41.7,102,252,40.5,81,207,39.1,183,459,39.9,376,1102,34.1,2007,0.476,0
New York Knicks,1214,1968,61.7,350,882,39.7,885,2197,40.3,85,215,39.5,82,199,41.2,167,414,40.3,405,1093,37.1,2007,0.402,0
Orlando Magic,1067,1854,57.6,329,781,42.1,883,2252,39.2,85,223,38.1,61,150,40.7,146,373,39.1,314,920,34.1,2007,0.488,1
Philadelphia 76ers,1367,2257,60.6,321,819,39.2,847,2069,40.9,78,197,39.6,76,166,45.8,154,363,42.4,349,1046,33.4,2007,0.427,0
Phoenix Suns,1311,2095,62.6,424,1039,40.8,999,2566,38.9,53,137,38.7,56,127,44.1,109,264,41.3,395,1111,35.6,2007,0.744,1
Portland Trail Blazers,1390,2274,61.1,300,752,39.9,808,1976,40.9,81,187,43.3,68,165,41.2,149,352,42.3,315,929,33.9,2007,0.39,0
Sacramento Kings,1279,1993,64.2,437,964,45.3,876,2194,39.9,100,254,39.4,74,206,35.9,174,460,37.8,381,1048,36.4,2007,0.402,0
San Antonio Spurs,1172,2128,55.1,422,1011,41.7,898,2226,40.3,62,162,38.3,51,140,36.4,113,302,37.4,255,783,32.6,2007,0.707,1
Seattle SuperSonics,1425,2201,64.7,364,865,42.1,819,2065,39.7,82,247,33.2,79,203,38.9,161,450,35.8,357,975,36.6,2007,0.378,0
Toronto Raptors,1272,2111,60.3,370,815,45.4,877,2178,40.3,83,212,39.2,71,192,37,154,404,38.1,374,1066,35.1,2007,0.573,1
Utah Jazz,1250,2011,62.2,318,836,38,750,1937,38.7,77,224,34.4,68,178,38.2,145,402,36.1,356,989,36,2007,0.622,1
Washington Wizards,1372,2175,63.1,332,874,38,864,2067,41.8,102,252,40.5,93,216,43.1,195,468,41.7,402,1110,36.2,2007,0.5,1
Atlanta Hawks,1445,2344,61.6,375,897,41.8,812,1988,40.8,75,210,35.7,67,170,39.4,142,380,37.4,301,816,36.9,2006,0.317,0
Boston Celtics,1332,2292,58.1,295,751,39.3,870,2154,40.4,74,211,35.1,56,167,33.5,130,378,34.4,317,878,36.1,2006,0.402,0
Charlotte Bobcats,1444,2333,61.9,336,776,43.3,827,2017,41,63,178,35.4,74,199,37.2,137,377,36.3,321,898,35.7,2006,0.317,0
Chicago Bulls,1067,1904,56,253,656,38.6,952,2527,37.7,78,200,39,65,185,35.1,143,385,37.1,358,1036,34.6,2006,0.5,1
Cleveland Cavaliers,1204,2114,57,323,768,42.1,963,2305,41.8,68,184,37,56,154,36.4,124,338,36.7,335,939,35.7,2006,0.61,1
Dallas Mavericks,1137,2020,56.3,335,845,39.6,926,2335,39.7,66,153,43.1,52,129,40.3,118,282,41.8,283,821,34.5,2006,0.732,1
Denver Nuggets,1339,2178,61.5,347,868,40,855,2243,38.1,88,226,38.9,86,219,39.3,174,445,39.1,355,1020,34.8,2006,0.537,1
Detroit Pistons,1317,2271,58,327,768,42.6,940,2398,39.2,47,143,32.9,55,150,36.7,102,293,34.8,229,710,32.3,2006,0.78,1
Golden State Warriors,1328,2108,63,345,893,38.6,905,2338,38.7,89,206,43.2,82,194,42.3,171,400,42.8,298,918,32.5,2006,0.415,0
Houston Rockets,924,1635,56.5,309,782,39.5,937,2430,38.6,95,234,40.6,69,184,37.5,164,418,39.2,374,1034,36.2,2006,0.415,0
Indiana Pacers,1189,2150,55.3,366,952,38.4,905,2319,39,54,154,35.1,58,161,36,112,315,35.6,258,763,33.8,2006,0.5,1
Los Angeles Clippers,1214,2207,55,386,939,41.1,814,2126,38.3,66,180,36.7,59,173,34.1,125,353,35.4,348,1005,34.6,2006,0.573,1
Los Angeles Lakers,1270,2139,59.4,334,855,39.1,866,2211,39.2,90,209,43.1,38,139,27.3,128,348,36.8,347,980,35.4,2006,0.549,1
Memphis Grizzlies,1155,2065,55.9,335,804,41.7,793,2082,38.1,60,178,33.7,55,166,33.1,115,344,33.4,293,862,34,2006,0.598,1
Miami Heat,1079,1875,57.5,369,919,40.2,933,2378,39.2,67,183,36.6,86,199,43.2,153,382,40.1,337,965,34.9,2006,0.634,1
Milwaukee Bucks,1300,2111,61.6,326,715,45.6,857,2173,39.4,71,206,34.5,82,232,35.3,153,438,34.9,336,938,35.8,2006,0.488,1
Minnesota Timberwolves,1263,2255,56,361,859,42,783,2133,36.7,59,156,37.8,62,144,43.1,121,300,40.3,324,916,35.4,2006,0.402,0
New Jersey Nets,1115,1947,57.3,294,710,41.4,860,2238,38.4,69,188,36.7,67,168,39.9,136,356,38.2,325,959,33.9,2006,0.598,1
New Orleans/Oklahoma City Hornets,1165,1906,61.1,322,783,41.1,850,2111,40.3,70,189,37,87,195,44.6,157,384,40.9,389,1086,35.8,2006,0.463,0
New York Knicks,1207,1936,62.3,308,760,40.5,890,2171,41,91,211,43.1,102,225,45.3,193,436,44.3,368,1030,35.7,2006,0.28,0
Orlando Magic,1219,2052,59.4,291,729,39.9,900,2260,39.8,87,204,42.6,71,198,35.9,158,402,39.3,302,874,34.6,2006,0.439,0
Philadelphia 76ers,1381,2339,59,315,759,41.5,904,2179,41.5,71,193,36.8,79,211,37.4,150,404,37.1,350,1000,35,2006,0.463,0
Phoenix Suns,1277,2097,60.9,420,1027,40.9,1031,2597,39.7,65,162,40.1,56,137,40.9,121,299,40.5,392,1110,35.3,2006,0.659,1
Portland Trail Blazers,1283,2227,57.6,311,779,39.9,944,2167,43.6,54,153,35.3,81,194,41.8,135,347,38.9,358,935,38.3,2006,0.256,0
Sacramento Kings,1219,1958,62.3,418,1034,40.4,956,2420,39.5,72,193,37.3,95,216,44,167,409,40.8,293,893,32.8,2006,0.537,1
San Antonio Spurs,1228,2222,55.3,375,1035,36.2,878,2278,38.5,36,115,31.3,47,121,38.8,83,236,35.2,218,637,34.2,2006,0.768,1
Seattle SuperSonics,1402,2210,63.4,351,825,42.5,907,2118,42.8,89,205,43.4,97,215,45.1,186,420,44.3,356,1009,35.3,2006,0.427,0
Toronto Raptors,1415,2223,63.7,350,794,44.1,888,2068,42.9,92,227,40.5,98,199,49.2,190,426,44.6,321,925,34.7,2006,0.329,0
Utah Jazz,1086,1873,58,334,844,39.6,824,2070,39.8,75,163,46,66,178,37.1,141,341,41.3,344,935,36.8,2006,0.5,0
Washington Wizards,1300,2026,64.2,356,981,36.3,857,2092,41,103,254,40.6,75,187,40.1,178,441,40.4,322,924,34.8,2006,0.512,1
Atlanta Hawks,1334,2204,60.5,364,825,44.1,880,2130,41.3,76,176,43.2,79,186,42.5,155,362,42.8,311,859,36.2,2005,0.159,0
Boston Celtics,1364,2346,58.1,256,714,35.9,853,2236,38.1,79,199,39.7,83,219,37.9,162,418,38.8,324,938,34.5,2005,0.549,1
Charlotte Bobcats,1382,2336,59.2,292,777,37.6,899,2172,41.4,79,177,44.6,74,188,39.4,153,365,41.9,289,844,34.2,2005,0.22,0
Chicago Bulls,1063,1947,54.6,301,725,41.5,983,2631,37.4,54,180,30,74,185,40,128,365,35.1,288,872,33,2005,0.573,1
Cleveland Cavaliers,1248,2171,57.5,307,816,37.6,936,2336,40.1,71,172,41.3,59,132,44.7,130,304,42.8,292,808,36.1,2005,0.512,0
Dallas Mavericks,1300,2214,58.7,330,896,36.8,861,2241,38.4,80,209,38.3,78,201,38.8,158,410,38.5,292,940,31.1,2005,0.707,1
Denver Nuggets,1251,2078,60.2,356,880,40.5,880,2305,38.2,73,208,35.1,65,185,35.1,138,393,35.1,325,937,34.7,2005,0.598,1
Detroit Pistons,1191,2142,55.6,244,641,38.1,948,2499,37.9,59,181,32.6,61,177,34.5,120,358,33.5,288,849,33.9,2005,0.659,1
Golden State Warriors,1349,2207,61.1,414,1124,36.8,921,2270,40.6,65,170,38.2,67,168,39.9,132,338,39.1,317,880,36,2005,0.415,0
Houston Rockets,945,1714,55.1,322,802,40.1,1003,2571,39,67,162,41.4,59,165,35.8,126,327,38.5,324,996,32.5,2005,0.622,1
Indiana Pacers,1103,2018,54.7,345,818,42.2,929,2378,39.1,56,155,36.1,47,121,38.8,103,276,37.3,288,785,36.7,2005,0.537,1
Los Angeles Clippers,1210,2136,56.6,403,1016,39.7,839,2152,39,76,178,42.7,62,133,46.6,138,311,44.4,346,990,34.9,2005,0.451,0
Los Angeles Lakers,1219,2086,58.4,412,945,43.6,962,2377,40.5,93,231,40.3,72,196,36.7,165,427,38.6,383,1080,35.5,2005,0.415,0
Memphis Grizzlies,1127,2088,54,283,743,38.1,851,2173,39.2,56,175,32,65,175,37.1,121,350,34.6,302,845,35.7,2005,0.549,1
Miami Heat,1014,1805,56.2,385,997,38.6,1024,2636,38.8,54,141,38.3,64,165,38.8,118,306,38.6,324,952,34,2005,0.72,1
Milwaukee Bucks,1395,2263,61.6,322,739,43.6,918,2326,39.5,64,188,34,79,224,35.3,143,412,34.7,320,932,34.3,2005,0.366,0
Minnesota Timberwolves,1246,2176,57.3,337,901,37.4,916,2409,38,57,164,34.8,69,189,36.5,126,353,35.7,342,924,37,2005,0.537,0
New Jersey Nets,1007,1819,55.4,303,743,40.8,916,2294,39.9,61,183,33.3,91,213,42.7,152,396,38.4,332,904,36.7,2005,0.512,1
New Orleans Hornets,1175,1984,59.2,330,754,43.8,849,2215,38.3,72,205,35.1,69,182,37.9,141,387,36.4,352,944,37.3,2005,0.22,0
New York Knicks,1273,2079,61.2,365,877,41.6,902,2228,40.5,73,189,38.6,54,159,34,127,348,36.5,334,912,36.6,2005,0.402,0
Orlando Magic,1319,2282,57.8,358,843,42.5,961,2410,39.9,75,186,40.3,56,174,32.2,131,360,36.4,312,922,33.8,2005,0.439,0
Philadelphia 76ers,1161,1941,59.8,276,755,36.6,928,2362,39.3,82,229,35.8,99,215,46,181,444,40.8,383,1101,34.8,2005,0.524,1
Phoenix Suns,1419,2371,59.8,351,902,38.9,1063,2735,38.9,82,183,44.8,66,177,37.3,148,360,41.1,346,1103,31.4,2005,0.756,1
Portland Trail Blazers,1369,2410,56.8,339,866,39.1,907,2283,39.7,83,221,37.6,82,200,41,165,421,39.2,276,844,32.7,2005,0.329,0
Sacramento Kings,1310,2083,62.9,449,1107,40.6,958,2436,39.3,77,210,36.7,58,163,35.6,135,373,36.2,334,925,36.1,2005,0.61,1
San Antonio Spurs,1129,2087,54.1,396,1079,36.7,865,2314,37.4,43,120,35.8,45,104,43.3,88,224,39.3,234,640,36.6,2005,0.72,1
Seattle SuperSonics,1284,2076,61.8,347,834,41.6,831,2157,38.5,72,188,38.3,66,167,39.5,138,355,38.9,332,950,34.9,2005,0.634,1
Toronto Raptors,1332,2199,60.6,386,914,42.2,980,2375,41.3,72,189,38.1,68,172,39.5,140,361,38.8,295,849,34.7,2005,0.402,0
Utah Jazz,1152,1868,61.7,308,728,42.3,797,2096,38,59,179,33,73,164,44.5,132,343,38.5,342,910,37.6,2005,0.317,0
Washington Wizards,1303,2033,64.1,366,997,36.7,909,2287,39.7,80,193,41.5,82,208,39.4,162,401,40.4,359,1025,35,2005,0.549,1
Atlanta Hawks,1254,2204,56.9,384,1007,38.1,847,2184,38.8,73,196,37.2,73,170,42.9,146,366,39.9,336,965,34.8,2004,0.341,0
Boston Celtics,1160,1993,58.2,296,750,39.5,883,2350,37.6,108,270,40,88,222,39.6,196,492,39.8,359,1034,34.7,2004,0.439,1
Chicago Bulls,1176,2120,55.5,321,828,38.8,946,2427,39,67,160,41.9,53,164,32.3,120,324,37,318,902,35.3,2004,0.28,0
Cleveland Cavaliers,1242,2245,55.3,319,956,33.4,964,2398,40.2,77,190,40.5,59,163,36.2,136,353,38.5,295,798,37,2004,0.427,0
Dallas Mavericks,1412,2263,62.4,392,956,41,795,2135,37.2,92,234,39.3,76,205,37.1,168,439,38.3,366,1019,35.9,2004,0.634,1
Denver Nuggets,1323,2286,57.9,437,1070,40.8,885,2253,39.3,48,146,32.9,50,153,32.7,98,299,32.8,276,742,37.2,2004,0.524,1
Detroit Pistons,1081,2002,54,301,755,39.9,895,2441,36.7,52,169,30.8,59,160,36.9,111,329,33.7,244,845,28.9,2004,0.659,1
Golden State Warriors,1161,1899,61.1,427,1173,36.4,946,2452,38.6,53,153,34.6,55,138,39.9,108,291,37.1,305,800,38.1,2004,0.451,0
Houston Rockets,907,1693,53.6,335,865,38.7,938,2621,35.8,71,173,41,61,158,38.6,132,331,39.9,324,883,36.7,2004,0.549,1
Indiana Pacers,1121,1940,57.8,338,868,38.9,883,2358,37.4,44,151,29.1,46,120,38.3,90,271,33.2,239,738,32.4,2004,0.744,1
Los Angeles Clippers,1295,2144,60.4,454,1064,42.7,874,2222,39.3,72,176,40.9,53,143,37.1,125,319,39.2,327,925,35.4,2004,0.341,0
Los Angeles Lakers,1168,1886,61.9,376,974,38.6,954,2535,37.6,55,148,37.2,50,128,39.1,105,276,38,317,949,33.4,2004,0.683,1
Memphis Grizzlies,1353,2399,56.4,344,969,35.5,794,2093,37.9,52,143,36.4,36,94,38.3,88,237,37.1,280,837,33.5,2004,0.61,1
Miami Heat,991,1693,58.5,383,999,38.3,854,2263,37.7,59,146,40.4,61,142,43,120,288,41.7,310,955,32.5,2004,0.512,1
Milwaukee Bucks,1301,2229,58.4,363,865,42,914,2329,39.2,81,195,41.5,62,160,38.8,143,355,40.3,313,927,33.8,2004,0.5,1
Minnesota Timberwolves,1106,1959,56.5,341,938,36.4,898,2545,35.3,64,152,42.1,43,133,32.3,107,285,37.5,289,890,32.5,2004,0.707,1
New Jersey Nets,1059,1874,56.5,300,791,37.9,917,2449,37.4,52,148,35.1,51,143,35.7,103,291,35.4,314,892,35.2,2004,0.573,1
New Orleans Hornets,1201,2077,57.8,331,864,38.3,869,2203,39.4,76,207,36.7,68,189,36,144,396,36.4,298,886,33.6,2004,0.5,1
New York Knicks,1055,1922,54.9,368,924,39.8,947,2417,39.2,65,172,37.8,68,170,40,133,342,38.9,282,875,32.2,2004,0.476,1
Orlando Magic,1436,2279,63,399,950,42,843,2274,37.1,79,198,39.9,70,177,39.5,149,375,39.7,341,912,37.4,2004,0.256,0
Philadelphia 76ers,1162,1991,58.4,337,863,39,809,2186,37,64,172,37.2,68,173,39.3,132,345,38.3,311,973,32,2004,0.402,0
Phoenix Suns,1310,2144,61.1,329,842,39.1,857,2311,37.1,81,231,35.1,74,185,40,155,416,37.3,324,941,34.4,2004,0.354,0
Portland Trail Blazers,1251,2200,56.9,345,870,39.7,942,2277,41.4,73,191,38.2,67,180,37.2,140,371,37.7,276,843,32.7,2004,0.5,0
Sacramento Kings,1235,1962,62.9,512,1190,43,984,2562,38.4,72,184,39.1,55,155,35.5,127,339,37.5,282,851,33.1,2004,0.671,1
San Antonio Spurs,1050,1938,54.2,443,1275,34.7,811,2227,36.4,46,108,42.6,46,123,37.4,92,231,39.8,216,701,30.8,2004,0.695,1
Seattle SuperSonics,1293,2099,61.6,306,903,33.9,895,2228,40.2,78,198,39.4,59,178,33.1,137,376,36.4,348,999,34.8,2004,0.451,0
Toronto Raptors,1153,2093,55.1,394,957,41.2,902,2426,37.2,38,111,34.2,43,95,45.3,81,206,39.3,192,673,28.5,2004,0.402,0
Utah Jazz,962,1718,56,360,929,38.8,807,2035,39.7,53,144,36.8,46,125,36.8,99,269,36.8,313,915,34.2,2004,0.512,0
Washington Wizards,1324,2106,62.9,317,940,33.7,996,2456,40.6,74,203,36.5,51,153,33.3,125,356,35.1,299,879,34,2004,0.305,0
Atlanta Hawks,1234,2174,56.8,369,1037,35.6,967,2456,39.4,57,150,38,57,159,35.8,114,309,36.9,331,917,36.1,2003,0.427,0
Boston Celtics,1052,1761,59.7,256,740,34.6,1034,2550,40.5,70,206,34,58,176,33,128,382,33.5,334,1007,33.2,2003,0.537,1
Chicago Bulls,1316,2229,59,288,775,37.2,956,2482,38.5,63,183,34.4,58,168,34.5,121,351,34.5,309,968,31.9,2003,0.366,0
Cleveland Cavaliers,1290,2176,59.3,329,857,38.4,1025,2557,40.1,75,193,38.9,79,193,40.9,154,386,39.9,274,801,34.2,2003,0.207,0
Dallas Mavericks,1217,2073,58.7,361,944,38.2,876,2277,38.5,85,226,37.6,73,190,38.4,158,416,38,314,960,32.7,2003,0.732,1
Denver Nuggets,1060,1736,61.1,376,986,38.1,840,2232,37.6,60,174,34.5,67,161,41.6,127,335,37.9,293,786,37.3,2003,0.207,0
Detroit Pistons,1092,1943,56.2,301,792,38,1064,2697,39.5,43,99,43.4,36,91,39.6,79,190,41.6,208,638,32.6,2003,0.61,1
Golden State Warriors,1352,2199,61.5,473,1344,35.2,977,2454,39.8,76,191,39.8,63,152,41.4,139,343,40.5,299,826,36.2,2003,0.463,0
Houston Rockets,1010,1834,55.1,418,1006,41.6,1077,2730,39.5,45,130,34.6,54,139,38.8,99,269,36.8,287,837,34.3,2003,0.524,0
Indiana Pacers,1182,2097,56.4,372,969,38.4,899,2429,37,56,162,34.6,49,145,33.8,105,307,34.2,302,884,34.2,2003,0.585,1
Los Angeles Clippers,1154,1966,58.7,502,1253,40.1,926,2325,39.8,74,170,43.5,61,152,40.1,135,322,41.9,318,907,35.1,2003,0.329,0
Los Angeles Lakers,1132,1886,60,414,1073,38.6,965,2543,37.9,59,157,37.6,41,113,36.3,100,270,37,363,936,38.8,2003,0.61,1
Memphis Grizzlies,1401,2361,59.3,465,1194,38.9,928,2267,40.9,62,168,36.9,63,163,38.7,125,331,37.8,305,846,36.1,2003,0.341,0
Miami Heat,1008,1746,57.7,441,1051,42,859,2263,38,53,127,41.7,46,131,35.1,99,258,38.4,306,877,34.9,2003,0.305,0
Milwaukee Bucks,1216,2079,58.5,367,821,44.7,980,2463,39.8,71,192,37,70,186,37.6,141,378,37.3,339,888,38.2,2003,0.512,1
Minnesota Timberwolves,1173,1974,59.4,392,995,39.4,969,2544,38.1,74,205,36.1,83,206,40.3,157,411,38.2,314,932,33.7,2003,0.622,1
New Jersey Nets,1051,1876,56,352,881,40,930,2525,36.8,51,137,37.2,62,157,39.5,113,294,38.4,311,870,35.7,2003,0.598,1
New Orleans Hornets,1252,2231,56.1,332,829,40,936,2459,38.1,54,138,39.1,48,154,31.2,102,292,34.9,235,695,33.8,2003,0.573,1
New York Knicks,1262,1993,63.3,437,1032,42.3,905,2401,37.7,56,156,35.9,51,122,41.8,107,278,38.5,250,761,32.9,2003,0.451,0
Orlando Magic,1310,2056,63.7,351,860,40.8,941,2477,38,53,151,35.1,72,186,38.7,125,337,37.1,279,854,32.7,2003,0.512,1
Philadelphia 76ers,1150,1934,59.5,361,914,39.5,913,2238,40.8,45,139,32.4,55,147,37.4,100,286,35,352,980,35.9,2003,0.585,1
Phoenix Suns,1286,2136,60.2,317,798,39.7,875,2367,37,61,178,34.3,52,156,33.3,113,334,33.8,322,1011,31.8,2003,0.537,1
Portland Trail Blazers,1212,1983,61.1,348,847,41.1,945,2425,39,65,190,34.2,64,181,35.4,129,371,34.8,308,903,34.1,2003,0.61,1
Sacramento Kings,1096,1828,60,471,1259,37.4,1051,2873,36.6,52,154,33.8,40,133,30.1,92,287,32.1,281,867,32.4,2003,0.72,1
San Antonio Spurs,1105,2005,55.1,432,1136,38,973,2522,38.6,44,135,32.6,42,124,33.9,86,259,33.2,265,768,34.5,2003,0.732,1
Seattle SuperSonics,1137,1819,62.5,355,920,38.6,907,2316,39.2,62,171,36.3,79,190,41.6,141,361,39.1,331,993,33.3,2003,0.488,0
Toronto Raptors,1324,2215,59.8,447,1118,40,896,2273,39.4,45,120,37.5,49,132,37.1,94,252,37.3,275,721,38.1,2003,0.293,0
Utah Jazz,1108,1898,58.4,338,890,38,876,2322,37.7,52,146,35.6,59,178,33.1,111,324,34.3,318,896,35.5,2003,0.573,1
Washington Wizards,1085,1703,63.7,379,1072,35.4,965,2491,38.7,62,168,36.9,58,175,33.1,120,343,35,328,895,36.6,2003,0.451,0
Atlanta Hawks,1328,2135,62.2,343,906,37.9,924,2307,40.1,80,197,40.6,61,149,40.9,141,346,40.8,328,972,33.7,2002,0.402,0
Boston Celtics,1014,1702,59.6,252,705,35.7,1017,2661,38.2,56,179,31.3,75,175,42.9,131,354,37,383,1144,33.5,2002,0.598,1
Charlotte Hornets,1189,2239,53.1,302,802,37.7,928,2400,38.7,60,140,42.9,61,144,42.4,121,284,42.6,310,858,36.1,2002,0.537,1
Chicago Bulls,1211,1992,60.8,332,776,42.8,1063,2570,41.4,50,142,35.2,62,154,40.3,112,296,37.8,307,868,35.4,2002,0.256,0
Cleveland Cavaliers,1260,2229,56.5,369,912,40.5,951,2336,40.7,65,175,37.1,73,171,42.7,138,346,39.9,334,847,39.4,2002,0.354,0
Dallas Mavericks,1402,2362,59.4,383,965,39.7,858,2237,38.4,50,179,27.9,66,166,39.8,116,345,33.6,335,926,36.2,2002,0.695,1
Denver Nuggets,1248,2051,60.8,439,1091,40.2,894,2226,40.2,53,130,40.8,71,166,42.8,124,296,41.9,300,865,34.7,2002,0.329,0
Detroit Pistons,1191,2064,57.7,286,747,38.3,1092,2744,39.8,44,92,47.8,40,123,32.5,84,215,39.1,272,769,35.4,2002,0.61,1
Golden State Warriors,1457,2226,65.5,431,1247,34.6,921,2359,39,60,154,39,56,127,44.1,116,281,41.3,287,865,33.2,2002,0.256,0
Houston Rockets,1297,2190,59.2,403,954,42.2,1122,2705,41.5,44,113,38.9,42,108,38.9,86,221,38.9,283,801,35.3,2002,0.341,0
Indiana Pacers,1161,1997,58.1,441,1132,39,957,2472,38.7,61,177,34.5,39,129,30.2,100,306,32.7,318,887,35.9,2002,0.512,1
Los Angeles Clippers,1236,2009,61.5,489,1317,37.1,943,2397,39.3,37,114,32.5,43,119,36.1,80,233,34.3,326,898,36.3,2002,0.476,0
Los Angeles Lakers,1139,1857,61.3,376,1084,34.7,958,2577,37.2,49,133,36.8,44,123,35.8,93,256,36.3,306,988,31,2002,0.707,1
Memphis Grizzlies,1382,2313,59.7,405,984,41.2,934,2421,38.6,64,135,47.4,46,125,36.8,110,260,42.3,287,840,34.2,2002,0.28,0
Miami Heat,1002,1757,57,367,1030,35.6,918,2383,38.5,28,90,31.1,39,119,32.8,67,209,32.1,312,889,35.1,2002,0.439,0
Milwaukee Bucks,1201,2034,59,314,778,40.4,1008,2657,37.9,59,180,32.8,73,186,39.2,132,366,36.1,360,1000,36,2002,0.5,0
Minnesota Timberwolves,1195,1995,59.9,361,929,38.9,916,2411,38,62,158,39.2,82,206,39.8,144,364,39.6,346,945,36.6,2002,0.61,1
New Jersey Nets,1086,2055,52.8,362,929,39,1001,2509,39.9,53,128,41.4,46,143,32.2,99,271,36.5,308,894,34.5,2002,0.634,1
New York Knicks,1203,1951,61.7,355,931,38.1,923,2431,38,65,167,38.9,67,148,45.3,132,315,41.9,311,931,33.4,2002,0.366,0
Orlando Magic,1349,2237,60.3,374,933,40.1,984,2505,39.3,70,162,43.2,65,168,38.7,135,330,40.9,274,809,33.9,2002,0.537,1
Philadelphia 76ers,993,1779,55.8,372,942,39.5,968,2457,39.4,49,128,38.3,44,111,39.6,93,239,38.9,343,1069,32.1,2002,0.524,1
Phoenix Suns,1203,2074,58,362,930,38.9,963,2459,39.2,57,156,36.5,48,135,35.6,105,291,36.1,324,903,35.9,2002,0.439,0
Portland Trail Blazers,1147,1869,61.4,361,911,39.6,979,2445,40,76,192,39.6,56,143,39.2,132,335,39.4,332,940,35.3,2002,0.598,1
Sacramento Kings,1146,1874,61.2,555,1312,42.3,1041,2776,37.5,63,155,40.6,48,144,33.3,111,299,37.1,275,830,33.1,2002,0.744,1
San Antonio Spurs,1144,2022,56.6,386,1042,37,981,2604,37.7,48,127,37.8,42,127,33.1,90,254,35.4,282,841,33.5,2002,0.707,1
Seattle SuperSonics,1210,1944,62.2,368,1000,36.8,915,2287,40,58,172,33.7,80,209,38.3,138,381,36.2,334,979,34.1,2002,0.549,1
Toronto Raptors,1069,1890,56.6,382,878,43.5,992,2535,39.1,51,135,37.8,46,122,37.7,97,257,37.7,280,818,34.2,2002,0.512,1
Utah Jazz,1086,1790,60.7,349,951,36.7,883,2274,38.8,68,149,45.6,56,141,39.7,124,290,42.8,333,895,37.2,2002,0.537,1
Washington Wizards,1115,1724,64.7,360,1024,35.2,1057,2594,40.7,58,144,40.3,67,178,37.6,125,322,38.8,296,865,34.2,2002,0.451,0
Atlanta Hawks,1106,1875,59,405,1121,36.1,1017,2535,40.1,61,151,40.4,55,133,41.4,116,284,40.8,278,781,35.6,2001,0.305,0
Boston Celtics,1204,1987,60.6,268,727,36.9,1033,2508,41.2,44,125,35.2,64,134,47.8,108,259,41.7,321,899,35.7,2001,0.439,0
Charlotte Hornets,1090,1936,56.3,361,979,36.9,927,2505,37,46,124,37.1,47,134,35.1,93,258,36,296,818,36.2,2001,0.561,1
Chicago Bulls,1336,2131,62.7,306,825,37.1,998,2398,41.6,47,112,42,37,94,39.4,84,206,40.8,261,763,34.2,2001,0.183,0
Cleveland Cavaliers,1187,1984,59.8,313,962,32.5,1005,2481,40.5,59,177,33.3,75,179,41.9,134,356,37.6,288,789,36.5,2001,0.366,0
Dallas Mavericks,1323,2266,58.4,352,986,35.7,884,2303,38.4,56,142,39.4,52,148,35.1,108,290,37.2,271,833,32.5,2001,0.646,1
Denver Nuggets,1262,2055,61.4,457,1254,36.4,946,2437,38.8,47,140,33.6,68,167,40.7,115,307,37.5,301,849,35.5,2001,0.488,0
Detroit Pistons,1103,1952,56.5,347,875,39.7,1098,2793,39.3,58,160,36.3,54,144,37.5,112,304,36.8,316,917,34.5,2001,0.39,0
Golden State Warriors,1433,2214,64.7,409,1091,37.5,899,2277,39.5,54,127,42.5,56,144,38.9,110,271,40.6,328,883,37.1,2001,0.207,0
Houston Rockets,1127,1852,60.9,438,1171,37.4,1096,2697,40.6,49,125,39.2,46,132,34.8,95,257,37,264,742,35.6,2001,0.549,0
Indiana Pacers,994,1796,55.3,408,1143,35.7,1050,2623,40,36,125,28.8,57,159,35.8,93,284,32.7,283,828,34.2,2001,0.5,1
Los Angeles Clippers,1184,1942,61,521,1387,37.6,936,2395,39.1,44,115,38.3,45,134,33.6,89,249,35.7,264,818,32.3,2001,0.378,0
Los Angeles Lakers,1099,1798,61.1,455,1188,38.3,1016,2662,38.2,48,123,39,46,110,41.8,94,233,40.3,319,923,34.6,2001,0.683,1
Miami Heat,1024,1695,60.4,442,1078,41,875,2401,36.4,44,112,39.3,32,93,34.4,76,205,37.1,283,870,32.5,2001,0.61,1
Milwaukee Bucks,1216,2112,57.6,295,805,36.6,963,2467,39,70,164,42.7,73,194,37.6,143,358,39.9,293,876,33.4,2001,0.634,1
Minnesota Timberwolves,1280,2141,59.8,401,1077,37.2,946,2375,39.8,43,105,41,41,107,38.3,84,212,39.6,266,769,34.6,2001,0.573,1
